timestamp,open,high,low,close,adjusted_close,Volume,dividend_amount,split_coefficient,Relative_Date,Return,Return_pct,Daily_Spread,CM_Return,AV_Return,CM_Return_pct,AV_Return_pct,Volume_pct
2018-03-25,,,,,,0.0,,,,,,0.0,,,,,
2018-03-26,72.4,72.65,71.71,72.02,72.02,3114044.0,0.0,1.0,,,,0.9400000000000119,,,,,
2018-03-27,72.62,72.87,72.27,72.43,72.43,2576258.0,0.0,1.0,,0.4100000000000108,0.005692863093585299,0.6000000000000085,,,,,
2018-03-28,72.34,72.4,71.82,71.86,71.86,3132651.0,0.0,1.0,,-0.5700000000000074,-0.007869667264945535,0.5800000000000125,,,,,
2018-03-29,72.13,72.76,72.01,72.31,72.31,5292851.0,0.0,1.0,,0.45000000000000284,0.0062621764542165614,0.75,,,,,
2018-03-30,,,,72.31,,0.0,,,,0.0,0.0,0.0,,,,,
2018-03-31,,,,72.31,,0.0,,,-5.0,0.0,0.0,0.0,1.7800000000000011,0.14833333333333343,0.02460318284121621,0.0020502652367680174,0.0
2018-04-01,,,,72.31,,0.0,,,-4.0,0.0,0.0,0.0,1.4699999999999989,0.1224999999999999,0.020402640835796126,0.0017002200696496772,0.0
2018-04-02,,,,72.31,,0.0,,,-3.0,0.0,0.0,0.0,1.059999999999988,0.08833333333333233,0.014709777742210828,0.0012258148118509022,0.0
2018-04-03,,,,72.31,,0.0,,,-2.0,0.0,0.0,0.0,1.6299999999999955,0.13583333333333295,0.022579445007156362,0.0018816204172630302,0.0
2018-04-04,71.59,72.43,71.45,72.26,72.26,2576796.0,0.0,1.0,-1.0,-0.04999999999999716,-0.0006914672935969257,0.980000000000004,1.2399999999999949,0.1033333333333329,0.017133706163499074,0.0014278088469582562,0.19321688313869648
2018-04-05,72.15,72.8,71.81,72.8,72.8,3646590.0,0.0,1.0,0.0,0.539999999999992,0.007473014115693122,0.9899999999999949,2.049999999999997,0.1708333333333331,0.028146622546911804,0.002345551878909317,0.2386292047584362
2018-04-06,72.7,73.92,72.33,73.8,73.8,3530929.0,0.0,1.0,1.0,1.0,0.013736263736263687,1.5900000000000034,1.3299999999999983,0.11083333333333319,0.018463997479671312,0.001538666456639276,0.19831407740369245
2018-04-07,73.76,73.83,73.31,73.49,73.49,2268366.0,0.0,1.0,2.0,-0.3100000000000023,-0.004200542005420083,0.519999999999996,0.7800000000000011,0.0650000000000001,0.010995230505200904,0.000916269208766742,0.10924405199986939
2018-04-08,,,,73.49,,0.0,,,3.0,0.0,0.0,0.0,0.8499999999999943,0.07083333333333286,0.011952953859968862,0.0009960794883307385,0.0
2018-04-09,,,,73.49,,0.0,,,4.0,0.0,0.0,0.0,0.8499999999999943,0.07083333333333286,0.011952953859968862,0.0009960794883307385,0.0
2018-04-10,73.13,73.92,73.11,73.55,73.55,1313607.0,0.0,1.0,5.0,0.060000000000002274,0.000816437610559273,0.8100000000000023,0.8999999999999915,0.07499999999999929,0.012644421153565788,0.001053701762797149,0.06757630111337228
2018-04-11,73.11,74.5,72.85,74.36,74.36,1945119.0,0.0,1.0,6.0,0.8100000000000023,0.01101291638341273,1.6500000000000057,-0.1799999999999926,-0.014999999999999384,-0.0022096755209025654,-0.00018413962674188045,0.10931170881007463
2018-04-12,74.0,74.3,73.38,73.64,73.64,2523325.0,0.0,1.0,,-0.7199999999999989,-0.009682625067240491,0.9200000000000017,,,,,
2018-04-13,73.31,73.62,72.92,73.09,73.09,2959474.0,0.0,1.0,,-0.5499999999999972,-0.007468766974470409,0.7000000000000028,,,,,
2018-04-14,73.33,73.42,73.0,73.16,73.16,1251461.0,0.0,1.0,,0.06999999999999318,0.0009577233547679587,0.4200000000000017,,,,,
2018-04-15,,,,73.16,,0.0,,,,0.0,0.0,0.0,,,,,
2018-04-16,,,,73.16,,0.0,,,,0.0,0.0,0.0,,,,,
2018-04-17,73.25,73.55,72.61,72.62,72.62,2001961.0,0.0,1.0,,-0.539999999999992,-0.0073810825587752316,0.9399999999999977,,,,,
